,id,Date,source,symbols,dayofweek
0,1019696670777503700,2018-07-18,GoldmanSachs,GS,Wed
1,1019709091038548000,2018-07-18,StockTwits,M,Wed
2,1019711413798035500,2018-07-18,TheStreet,AIG,Wed
3,1019716662587740200,2018-07-18,MarketWatch,BTC,Wed
4,1019718460287389700,2018-07-18,Forbes,ORCL,Wed
5,1019719465095790600,2018-07-18,jimcramer,FB,Wed
5,1019719465095790600,2018-07-18,jimcramer,FB,Wed
5,1019719465095790600,2018-07-18,jimcramer,FB,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOGL,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOGL,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOGL,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOG,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOG,Wed
5,1019719465095790600,2018-07-18,jimcramer,GOOG,Wed
6,1019720209786114000,2018-07-18,ianbremmer,HRS,Wed
7,1019720659738480600,2018-07-18,Reuters,INTC,Wed
7,1019720659738480600,2018-07-18,Reuters,INTC,Wed
7,1019720659738480600,2018-07-18,Reuters,USB,Wed
7,1019720659738480600,2018-07-18,Reuters,USB,Wed
8,1019720723441635300,2018-07-18,TechCrunch,NFLX,Wed
9,1019721145396887600,2018-07-18,MarketWatch,BTC,Wed
10,1019723137481617400,2018-07-18,Reuters,TWX,Wed
11,1019723744804245500,2018-07-18,Forbes,ENDP,Wed
12,1019723856741830700,2018-07-18,business,HPQ,Wed
13,1019724534092566500,2018-07-18,Reuters,HPQ,Wed
14,1019725139905216500,2018-07-18,business,MGM,Wed
15,1019726007408898000,2018-07-18,Reuters,AMZN,Wed
15,1019726007408898000,2018-07-18,Reuters,AMZN,Wed
15,1019726007408898000,2018-07-18,Reuters,GPS,Wed
15,1019726007408898000,2018-07-18,Reuters,GPS,Wed
16,1019726537778704400,2018-07-18,nytimes,ENDP,Wed
17,1019729988017377300,2018-07-18,Reuters,UDR,Wed
18,1019733557646770200,2018-07-19,Reuters,ticker,Thu
19,1019733841370669000,2018-07-19,TheEconomist,NTRS,Thu
20,1019734658127401000,2018-07-19,business,CBS,Thu
21,1019737727477174300,2018-07-19,business,BLK,Thu
22,1019739347342577700,2018-07-19,jimcramer,GOOGL,Thu
23,1019741289473028100,2018-07-19,Reuters,EBAY,Thu
24,1019741742386597900,2018-07-19,business,JD,Thu
25,1019743063328030700,2018-07-19,TheStalwart,TWTR,Thu
26,967109381098758100,2018-02-23,benbernanke,FB,Fri
27,1016082850326642700,2018-07-08,StockTipRobot,FIS,Sun
28,1016085297661120500,2018-07-08,ConsumerFeed,AJG,Sun
29,1016086242583351300,2018-07-08,MareaInformativ,AJG,Sun
30,1016088038634590200,2018-07-08,finzine,INFO,Sun
31,1016090469292564500,2018-07-08,Riskographer2,FLR,Sun
32,1016091150300713000,2018-07-08,whatsonthorold2,AVY,Sun
33,1016091322309120000,2018-07-08,oliviabvoz,ETR,Sun
34,1016091353468596200,2018-07-08,reurope_stock,AVY,Sun
35,1016091418924933100,2018-07-08,bibeypost_stock,AVY,Sun
36,1016094537868042200,2018-07-08,LaurieInMadison,ETR,Sun
37,1016096101588353000,2018-07-08,1MinuteStock,XYL,Sun
38,1016098363517726700,2018-07-08,1MinuteStock,IRM,Sun
39,1016101380958744600,2018-07-08,1MinuteStock,IRM,Sun
40,1016101408507035600,2018-07-08,optioncharts,ORLY,Sun
41,1016104193994772500,2018-07-08,optioncharts,AVB,Sun
42,1016104407988162600,2018-07-08,Jake_Hunter,IRM,Sun
43,1016106363016147000,2018-07-08,MttsTrading,HP,Sun
44,1016107534699122700,2018-07-08,TranscriptDaily,MOS,Sun
45,1016108212276351000,2018-07-08,WeekHerald,MOS,Sun
46,1016109247048945700,2018-07-08,HarryPickens2,HSY,Sun
47,1016113566078947300,2018-07-09,optioncharts,NI,Mon
48,1016114043638112300,2018-07-09,BogdanoffJr,AMG,Mon
49,1016114104870658000,2018-07-09,Gary49148971,HCA,Mon
50,1016115080273031200,2018-07-09,stockpicklist,JEC,Mon
