Zipcodes,Date,Online Available,Pharmacy,Store Sales,Median Income,Population
90003,1/1/2015,0,1,67385,18996,35177
90003,2/1/2015,0,1,67862,18996,35177
90003,3/1/2015,0,1,72886,18996,35177
90003,4/1/2015,0,1,59983,18996,35177
90003,5/1/2015,0,1,56489,18996,35177
90003,6/1/2015,0,1,60116,18996,35177
90003,7/1/2015,0,1,63849,18996,35177
90003,8/1/2015,0,1,61821,18996,35177
90003,9/1/2015,0,1,70163,18996,35177
90003,10/1/2015,0,1,70725,18996,35177
90003,11/1/2015,0,1,59260,18996,35177
90003,12/1/2015,0,1,55906,18996,35177
90003,1/1/2016,0,1,59891,18996,35177
90003,2/1/2016,0,1,60705,18996,35177
90003,3/1/2016,0,1,81039,18996,35177
90003,4/1/2016,0,1,68030,18996,35177
90003,5/1/2016,0,1,65841,18996,35177
90003,6/1/2016,0,1,55127,18996,35177
90003,7/1/2016,0,1,64550,18996,35177
90003,8/1/2016,0,1,72998,18996,35177
90003,9/1/2016,0,1,66655,18996,35177
90003,10/1/2016,0,1,65764,18996,35177
90003,11/1/2016,0,1,55233,18996,35177
90003,12/1/2016,0,1,72268,18996,35177
90004,1/1/2015,0,0,92524,24198,43589
90004,2/1/2015,0,0,90847,24198,43589
90004,3/1/2015,0,0,112860,24198,43589
90004,4/1/2015,0,0,116193,24198,43589
90004,5/1/2015,0,0,101131,24198,43589
90004,6/1/2015,0,0,83727,24198,43589
90004,7/1/2015,0,0,106510,24198,43589
90004,8/1/2015,0,0,94064,24198,43589
90004,9/1/2015,0,0,111520,24198,43589
90004,10/1/2015,0,0,80162,24198,43589
90004,11/1/2015,0,0,112670,24198,43589
90004,12/1/2015,0,0,102333,24198,43589
90004,1/1/2016,0,0,108451,24198,43589
90004,2/1/2016,0,0,103335,24198,43589
90004,3/1/2016,0,0,108641,24198,43589
90004,4/1/2016,0,0,109643,24198,43589
90004,5/1/2016,0,0,113915,24198,43589
90004,6/1/2016,0,0,95984,24198,43589
90004,7/1/2016,0,0,109569,24198,43589
90004,8/1/2016,0,0,97039,24198,43589
90004,9/1/2016,0,0,105308,24198,43589
90004,10/1/2016,0,0,98093,24198,43589
90004,11/1/2016,0,0,104359,24198,43589
90004,12/1/2016,0,0,108662,24198,43589
90006,1/1/2015,0,0,56983,16714,38046
90006,2/1/2015,0,0,53511,16714,38046
90006,3/1/2015,0,0,63590,16714,38046
90006,4/1/2015,0,0,53950,16714,38046
90006,5/1/2015,0,0,61695,16714,38046
90006,6/1/2015,0,0,65472,16714,38046
90006,7/1/2015,0,0,52023,16714,38046
90006,8/1/2015,0,0,66617,16714,38046
90006,9/1/2015,0,0,68773,16714,38046
90006,10/1/2015,0,0,63533,16714,38046
90006,11/1/2015,0,0,66808,16714,38046
90006,12/1/2015,0,0,51101,16714,38046
90006,1/1/2016,0,0,64868,16714,38046
90006,2/1/2016,0,0,59832,16714,38046
90006,3/1/2016,0,0,62267,16714,38046
90006,4/1/2016,0,0,72086,16714,38046
90006,5/1/2016,0,0,60258,16714,38046
90006,6/1/2016,0,0,62299,16714,38046
90006,7/1/2016,0,0,49537,16714,38046
90006,8/1/2016,0,0,56659,16714,38046
90006,9/1/2016,0,0,65383,16714,38046
90006,10/1/2016,0,0,57994,16714,38046
90006,11/1/2016,0,0,51890,16714,38046
90006,12/1/2016,0,0,57867,16714,38046
90011,1/1/2015,0,1,81962,16576,54694
90011,2/1/2015,0,1,86817,16576,54694
90011,3/1/2015,0,1,82933,16576,54694
90011,4/1/2015,0,1,97098,16576,54694
90011,5/1/2015,0,1,97878,16576,54694
90011,6/1/2015,0,1,82961,16576,54694
90011,7/1/2015,0,1,103952,16576,54694
90011,8/1/2015,0,1,76764,16576,54694
90011,9/1/2015,0,1,99611,16576,54694
90011,10/1/2015,0,1,99478,16576,54694
90011,11/1/2015,0,1,84104,16576,54694
90011,12/1/2015,0,1,95156,16576,54694
90011,1/1/2016,0,1,75965,16576,54694
